PDE,Description,Supp Part No,EAN,Generic,Inventory Group,Document Display,Price GST Inc,Price GST Exc
204323,SFI Hlth KeenMind Cap 60,1154719,7610939003923,,2,,27.45,24.95
204331,L/SPACE Digest Enzy 60 Caps,LSP051,9331927003418,,2,,47.17,42.88
204366,L/SPACE Dbl/Str Prbtc Cap 30,LSP022,9331927003371,,2,,43.49,39.54
204374,L/SPACE Urogen Prbtc Cap 60,LSP033,9331927003616,,2,,47.17,42.88
204439,Cetaphil Baby Ltn 400ml,60225,9318637043316,,2,,10.63,9.66
204544,Malean Tab 5mg 30,7002386,9350299000290,Enalapril 5mg Tab,5,,2.98,2.71
204552,T/Skin Wr Hand Brc Rgt XS/Sml,82281,609580822813,,2,,36.75,36.75
204560,T/Skin Wr Hand Brc Rgt Med,84281,609580842811,,2,,36.75,36.75
204579,T/Skin Wr Hand Brc Rgt Lge/XL,86281,609580862819,,2,,36.75,36.75
204587,Salofalk Gran 3g Sach 30,DRF-110007,9355795002069,Mesalazine 3g Sach,5,,95.82,87.11
204706,T/Skin Wr Hand Brc Lft XS/Sml,82280,609580822806,,2,,36.75,36.75
204714,T/Skin Wr Hand Brc Lft Med,84280,609580842804,,2,,36.75,36.75
204722,T/Skin Wr Hand Brc Lft Lge/XL,86280,609580862802,,2,,36.75,36.75
204773,Dove A/P Invis Dry 250ml,21165603,9300830024476,,2,,5.64,5.13
204803,Dove A/P Pmgt & Lem Verbena 250ml,21165605,9300830024490,,2,,5.64,5.13
204862,Dilart Tab 320mg Blst 28 ,400009087,9323610011107,Valsartan 320mg Tab,5,,8.92,8.11
205001,Bio Oil  60ml,8110,6001159111344,,2,,10.4,9.45
205125,Ham Narium NSpry Sal  30ml,100817,9310304140519,,2,,11.08,10.07
205133,Zamic Inj 500mg/5ml Amp 5pk,ZAM500,9346438000160,Tranexamic Acid 500mg/5ml Amp,6,,30.97,28.15
205141,Oculocin Propo EDrps 5ml 0.5ml 10,PROPO,4779036660101,,2,,11.76,10.69
205214,Sanofi Glycerine 200ml,5000227a,9300655602880,,2,,7.38,6.71
205230,Dermal Thrpy V/Dry Skn Ltn 500ml,DT24001835,9329224001831,,2,,15.11,13.74
205311,Ponstan Cap 250mg Blst 50,F000055230,9313212106967,Mefenamic Acid 250mg Cap,5,,9.03,8.21
205338,Cyklokapron Amp 1000mg/10ml x10 PF,101812,9313212106844,Tranexamic Acid 1000mg/10ml Amp,6,,707.67,643.34
205354,Ocean HCare Flushable Wipes 40,5182,9338608004818,,2,,2.94,2.67
205478,APO Propranolol Tab 10mg Btle 100,1786,9338475021246,Propranolol 10mg Tab,5,,3.62,3.29
205486,APO Propranolol Tab 40mg Btle 100,1787,9338475021253,Propranolol 40mg Tab,5,,3.92,3.56
205613,Seda Ltn 15ml,3704,9313501003106,,2,,9.91,9.01
205621,Lariam Tab 250MG 8,10738,4260095681850,Mefloquine 250mg Tab,6,,37.03,33.66
205648,Trental F/C Tab 400mg 50,1260465,9345619000999,Pentoxifylline (oxpentifylline) 400mg Tab,6,,37.26,33.87
205710,Kindergen Pwdr 400g,65004,4008976671626,Whey Protein Form 400g Pwd,5,,51.55,51.55
205753,Xalacom 50mcg/ml 2.5ml,7875,9331134930187,Latanoprost 50mcg/ml Timolol 5mg/ml Drps,5,,8.87,8.06
205842,Seravit Paed Pwdr 200g,153147,5016533656251,Carbohydrate Supplement 200g Pwd,5,,51.51,51.51
205915,Hydralyte App BCurr Ice Blocks 16,HLIAB16,9317039000965,,2,,12.43,11.3
205931,Hydralyte App BCurr 1Ltr,HLLAB1L,9317039000996,,2,,10.97,9.97
205990,Morphine Juno Amp  10mg/1ml 5,101729,9349029000099,Morphine Hydrochloride Trihydrate 10mg/ml Amp,5,,5.23,4.75
206008,Morphine Juno Amp  20mg/1ml 5,101732,9349029000112,Morphine Hydrochloride Trihydrate 20mg/1ml Amp,5,,7.91,7.19
206024,Morphine Juno Amp  50mg/5ml 5,101733,9349029000105,Morphine Hydrochloride Trihydrate 50mg/5ml Amp,5,,13.18,11.98
206032,Morphine Juno Amp 100mg/5ml 5,101730,9349029000129,Morphine Hydrochloride Trihydrate 100mg/5ml Amp,5,,19.77,17.97
206083,Pigeon Brst Pmp Manual,PPQ817,4902508798174,,2,,58.27,52.97
206318,Adriamycin Soln 50mg 25ml     S100C,9040050,9316795004613,Doxorubicin Hcl 50mg Soln,5,,13.46,12.24
206369,Robitussin Cough&Chest Congest100ml,F000139948,9310488022878,,2,,8.82,8.02
206377,Robitussin Cough&Chest Congest200ml,F000139950,9310488022885,,2,,15.97,14.52
206393,Medi Pak HotCold Sml CDU x5 ,630,9312911056368,,2,,28.29,25.72
206660,Vepesid Cap 100mg 10,107270,9339212001828,Etoposide 100mg Cap,5,,397.95,361.77
206776,SCW Ex/Care Hold Lacq Super 400g,2338384,9310714467411,,2,,9.83,8.94
206814,Skyn Max Perf Lub 80ml,460087,9352417000878,,2,,9.22,8.38
206822,Ego QV HCrm SPF15 50g,11590,9314839012242,,2,,5.25,4.77
206849,SP Therm Dig                   6344,6344,9313776063447,,2,,7.67,6.97
206857,Zyrtec NSpry 10ml,43020062,9300607490114,,2,,16.87,15.34
207063,Kotex U Sprt U/Thn Wng Reg 12 x4,91440,9310088009439,,2,,20.11,20.11
207071,Kotex U Sprt U/Thn Wng Sup 10 x4,91441,9310088009446,,2,,20.11,20.11
207373,Neutrogena HydroBoost Mask 5 Pce,79621152,9300607561401,,2,,18.26,16.6
207438,Flexeze Heatwrap,flexHeatwrap,9369999311100,,2,,5.89,5.35
207470,DDA Register HA 176,25140575,,,2,,22.75,20.68
207632,Pariet Tab 10mg 28,AN96119,9317376961196,Rabeprazole Sodium 10mg Tab,5,,9.35,8.5
207810,Tazac Cap 300mg 30,7003585,9350299003697,Nizatidine 300mg Cap,5,,19.6,17.82
207845,Sodium Chloride .18%Gluc4%IV Sol1Lt,AHB1254,9318242000728,Sodium Chloride Glucose Soln,6,,11.08,10.07
208302,Ego Resolve Plus 0.5% 30g,11615,9314839002304,Miconazole Nitrate 2% Hydrocortisone 0.5%,2,,9.2,8.36
208310,Ego Resolve Plus 1.0% 30g,11692,9314839002311,Miconazole Nitrate 2% Hydrocortisone 1%,1,,9.23,8.39
208337,Ego Resolve Soln 25ml,11919,9314839002274,,2,,8.51,7.74
208345,Zyrtec Liq Cap 10mg 42,79622927,9300607490169,Cetirizine Hydrochloride 10mg Cap,2,,38.79,35.26
208353,Ego Resolve Tinea 25g,11519,93478076,,2,,6.68,6.07
208361,Ego Resolve Tinea 50g,11520,9314839002250,,2,,8.44,7.67
208418,Zyrtec Liq Cap 10mg 14,79622962,9300607490145,Cetirizine Hydrochloride 10mg Cap,2,,18.33,16.66
208434,Zyrtec Liq Cap 10mg 28,79622929,9300607490152,Cetirizine Hydrochloride 10mg Cap,2,,32.96,29.96
208442,Zyrtec H/Fvr&Alrgy EDrps 4ml,43020063,9300607490121,Levocabastine 0.05mg/ml Eye Drps,2,,15.32,13.93
208477,Epsom Salts 375g,5000224a,9300655602859,,2,,2.66,2.42
208485,Epsom Salts 1kg,5000223a,9300655602842,,2,,6.06,5.51
208604,Clonea 3 Day Crm 20mg/g Tube 20g,7010109,9323610010063,Clotrimazole 20mg/g Crm,1,,5.34,4.85
208752,PAIN Mate TENS Dev ,5721,9348721000000,,2,,42.35,42.35
208779,Logem Tab 200mg Blst 56,400008661,9323610010780,Lamotrigine 200mg Tab,5,,16.34,14.85
208795,Logem Tab 25mg Blst 56,400004410,9323610010759,Lamotrigine 25mg Tab,5,,4.73,4.3
208817,Logem Tab 50mg Blst 56,400506179,9323610010766,Lamotrigine 50mg Tab,5,,5.83,5.3
208825,Logem Tab 100mg Blst 56,400506180,9323610010773,Lamotrigine 100mg Tab,5,,9.72,8.84
208892,E/Plast 48320 Sprt Kinesio Tape Blk,48394,4005800212154,,2,,10.64,9.67
208922,E/Plast 48306 Sprt Kinesio Tape Bge,48392,4005800212147,,2,,10.64,9.67
208949,SP Finger Cot Splint Sml       6475,6475,9313776064758,,2,,5.24,4.76
208957,SP Finger Cot Splint Med       6476,6476,9313776064765,,2,,5.53,5.03
208965,SP Finger Cot Splint Lge       6477,6477,9313776064772,,2,,5.68,5.16
209082,Poise Actv U/Thn Reg Pads 14x4,91856,9310088009828,,2,,15.74,15.74
209090,Poise Actv U/Thn Pads Super 12 x4,91857,9310088009835,,2,,15.74,15.74
209201,Velphoro ChewTab 500mg Btle 90,10054418,7640114724770,Sucroferric Oxyhydroxide 500mg Chew Tab,5,,418.02,380.02
209538,Toradol Amp 10mg 1ml x5,1154730,5021730030674,Ketorolac Trometamol 10mg Amp,6,,23.01,20.92
209554,Toradol Amp 30mg 1ml x5,1154731,5021730030667,Ketorolac Trometamol 30mg Amp,6,,28.82,26.2
209562,SP Safe T Dose Med Syr         6480,6480,9313776064802,,2,,3.6,3.27
209570,SP Safe T Dose W/Organiser Sml 6472,6472,9313776064727,,2,,13.78,12.53
209589,SP Safe T Dose W/Organiser Lge 6473,6473,9313776064734,,2,,16.61,15.1
209600,Lasix HD Amp 250mg 25ml 6,338566,9319733003181,Furosemide (frusemide) 250mg Amp,6,,39.02,35.47
209635,Adenuric Tab 80mg 28,770061,9341677000285,Febuxostat 80mg Tab,5,,41.14,37.4
209651,Somac HBurn Rlf Tab 20mg 7 ,4052553,9335311005033,Pantoprazole 20mg Tab,2,,7.67,6.97
209716,APO Lansoprazole ODT Tab15mg Blst28,2159,9338475021598,Lansoprazole 15mg Tab,5,,4.05,3.68
209724,APO Lansoprazole ODT Tab30mg Blst28,2160,9338475021604,Lansoprazole 30mg Tab,5,,5.3,4.82
209732,Paroxetine GH Tab 20mg 30,2600402,9334926000402,Paroxetine Hcl 20mg Tab,0,,4.13,3.75
209929,Comvita Olive Leaf Extr Nat 500ml,OLA333,9331527000008,,2,,27.62,25.11
209945,Comvita Olive Leaf Extr PMint 500ml,OLA335,9331527000022,,2,,27.62,25.11
209988,Comvita Olive Leaf Extr M/Brs 500ml,OLA414,9331527000374,,2,,27.62,25.11
210021,Comvita Olive Leaf Extr HiStr Cap60,OLA20257,9400501202261,,2,,20.32,18.47
210242,Benzac B/Head Scrub 60g,40255,9318637043279,,2,,13.26,12.05
210250,Ondansetron ODT 8mg 4           SNZ,44063932,9322838010572,Ondansetron 8mg Tab,5,,4.96,4.51
210269,Ondansetron ODT 8mg 10          SNZ,44063933,9322838010558,Ondansetron 8mg Tab,5,,12.18,11.07
210277,Nicabate Patch Clr 21mg 2Wk,6E+13,9300673823298,Nicotine 21mg/24hr Patch,2,,42.91,42.91
210285,Ondansetron Tab 8mg 4           SNZ,44063898,9322838010565,Ondansetron 8mg Tab,5,,4.96,4.51
210307,Ondansetron Tab 8mg 10          SNZ,44063899,9322838010541,Ondansetron 8mg Tab,5,,12.18,11.07
210382,APO Temozolomide Cap 5mg Btle 5,1818,9338475018185,Temozolomide 5mg Cap,5,,5.61,5.1
210390,APO Temozolomide Cap 20mg Btle 5,1819,9338475018192,Temozolomide 20mg Cap,5,,16.28,14.8
210404,APO Temozolomide Cap 100mg Btle 5,1820,9338475018208,Temozolomide 100mg Cap,5,,69.74,63.4
210412,APO Temozolomide Cap 140mg Btle 5,1821,9338475018215,Temozolomide 140mg Cap,5,,96.17,87.43
210439,APO Temozolomide Cap 180mg Btle 5,1822,9338475018239,Temozolomide 180mg Cap,5,,116.46,105.87
210447,APO Temozolomide Cap 250mg Btle 5,1823,9338475018222,Temozolomide 250mg Cap,5,,165.68,150.62
210498,Noxicid Cap 20mg Btle 30,400532551,9323610011510,Esomeprazole 20mg Cap,5,,4.73,4.3
210528,Noxicid Cap 40mg Btle 30,400532552,9323610011527,Esomeprazole 40mg Cap,5,,5.62,5.11
210625,Anafranil Tab 25mg 50           ,T1000,9319099000527,Clomipramine 25mg Tab,5,,11.26,10.24
210803,Movicol Orig LemLim 13.125g Sach 30,1155389,5012748111059,Macrogol 3350 13.125g Electrolytes Pwd,2,,12.42,11.29
210846,Plunk 99% Pure AVera Gel 240ml ,ALO002,9330139000239,,2,,13.6,12.36
210986,Medi Pak HotCold Neck Pk,614,9312911000514,,2,,17.71,16.1
210994,Medi Pak Jaw Pk,615,9312911006158,,2,,14.84,13.49
211036,Yasmin Tab 28 1,400577123,4057598016988,Drospirenone 3mg Ethinylestradiol 30mcg Tab,5,,17.71,16.1
211044,Yasmin Tab 28 3,400577124,9323911001630,Drospirenone 3mg Ethinylestradiol 30mcg Tab,5,,53.1,48.27
211303,SP Gelatin Cap 00 Mt100        6034,6034-,9313776060347,Gelatin Cap,2,,12.88,11.71
211338,SP Tongue Depres Wd 100        6070,6070-,9313776060705,,2,,5.94,5.4
211370,Nads Nose Wax 12g,4859EN24,638995004859,,2,,9.83,8.94
211419,DUIT Tough Scrub 150g,DUI32200,9323245004543,,2,,9.24,8.4
211443,SP Urinal Lid Male 1Ltr        6362,6362,9313776063621,,2,,16.85,16.85
211478,Alkeran Tab 2mg FC 25,115,9300670282746,Melphalan 2mg Tab,5,,56.45,51.32
211494,SCW Taft Mega St/Gel 300g,2705315,9310714320334,,2,,7.24,6.58
211753,Migrastick ROn 3mlx6,98230,9326284000071,,2,,76.2,69.27
211796,Maltofer Tab 100mg x30,8209,9331134931153,,2,,23.19,21.08
211818,Maltofer Syp 10mg/ml 150ml ,8210,9331134931177,,2,,20.21,18.37
211850,T/Ferg Shk Starter Pk x4,TFB1054,9336421003827,,2,,259.12,235.56
211893,Ondansetron Tab 4mg Blst 4      SNZ,44063896,9322838010527,Ondansetron 4mg Tab,5,,4.25,3.86
211907,Ondansetron ODT 4mg 4           SNZ,44063930,9322838010534,Ondansetron 4mg Wafer,5,,4.25,3.86
211915,Ondansetron ODT 4mg 10          SNZ,44063931,9322838010510,Ondansetron 4mg Wafer,5,,10.23,9.3
211923,Ondansetron Tab 4mg Blst 10     SNZ,44063897,9322838010503,Ondansetron 4mg Tab,5,,10.23,9.3
212067,Prunelax Smth 300g,EX1473,7803510002679,,2,,11.09,10.08
212075,Prunelax XStre Lax Tab 120,EX1461,7803510002488,,2,,14,12.73
212083,Decozol Oral Gel 40g,2405008a,9556258004037,Miconazole Nitrate 2% Tube,1,,12.42,11.29
212210,Cancer/C Ultra SPF50+ 1Ltr,1136,9321299600131,,2,,34.78,34.78
212334,Olay Regen MBst Pre-Ess 40ml,82324133,4902430625760,,2,,31.1,28.27
212350,Nivea D/Es DblEff Eye MUp Rem 125ml,81182,4005900895417,,2,,8.44,7.67
212369,Ego Moov HLice Soln 200ml,10705,9314839003097,,2,,16.74,15.22
212563,Fasturtec Vial 1.5mg Amp3,353109,9319733000654,Rasburicase Amp,6,,685.98,623.62
212709,Cialis Tab 20mg  4,TA446401VAL,9323829002552,Tadalafil 20mg Tab,5,,37.39,33.99
212873,Rite Aid Nursing Pads 40,NP3X40A,9300764050633,,2,,4.82,4.38
212881,Fut Back Supp Stab Sml/Med,70007012506,51131201552,,2,,43.7,43.7
212911,Sanofi Hydrogen Perox 3% 200ml ,5000228a,9300655602835,Hydrogen Peroxide 200ml Liq,2,,3.14,2.85
213012,Ego Hairscience Cond Vol  200ml,10044,9314839002656,,2,,7.19,6.54
213187,DVeen Revive&Prt BMoist SPF50+ 200g,102537,9314057010112,,2,,18.1,18.1
213209,I/Zinc Jnr Sunscn SPF50+ 60g,101643,9314057009796,,2,,11.88,11.88
213373,Fut Back Supp Stab Lge/Xlge,70007013405,51131200760,,2,,43.7,43.7
213403,T/Plant Acne Face Wipes 25pk,TTFWA25,9312146008118,,2,,7.17,6.52
213411,Nupentin Cap 100mg 100,400008587,9323610004017,Gabapentin 100mg Cap,5,,4.53,4.12
213438,Vfend Tab   50mg x56,8081005,9313212101030,Voriconazole 50mg Tab,6,,281.59,255.99
213446,Vfend Tab  200mg x56,8081020,9313212101047,Voriconazole 200mg Tab,6,,748.67,680.61
213454,Vfend Vial 200mg IV,8081120,9313212101054,Voriconazole 200mg Vial,6,,268.61,244.19
213462,Phenergan Tab 10mg 50,325700,9321547970917,Promethazine 10mg Tab,1,,11.84,10.76
213470,Phenergan Tab 25mg 50,325705,9321547970924,Promethazine Hydrochloride 25mg Tab,1,,15.2,13.82
213489,T/Plant AVera Gel 500g,TTAG500,9312146008507,,2,,18.63,16.94
213527,Fludara Oral Tab 10mg 20,351737,9323911001814,Fludarabine Phosphate Tab,5,,974.69,886.08
213543,Hequinel Tab 200mg 100,7002388,9350299000276,Hydroxychloroquine 200mg Tab,5,,15.29,13.9
213705,Nupentin Cap 300mg 100,400008591,9323610004031,Gabapentin 300mg Cap,5,,9.87,8.97
213810,Ham Urederm Crm 100g,7306,9313501073062,Urea 10% Crm,2,,6.92,6.29
213829,Minims Chloramphenicol Pk20,103178,9320344000094,Chloramphenicol 0.5% Amp,6,,64.89,58.99
213861,Aerogard 40% Deet Spry 150g,3011284,9300701112844,,2,,13.4,12.18
213896,Aerogard 40% Deet Spry 300g,3011285,9300701112851,,2,,19.25,17.5
214140,Aciclovir Tab 800mg Blst 35     SNZ,44057855,9322838010060,Aciclovir 800mg Tab,5,,23.94,21.76
214159,Aciclovir Tab 200mg Blst 25     SNZ,44057854,9322838010039,Aciclovir 200mg Tab,5,,5.56,5.05
214167,Aciclovir Tab 200mg Blst 90     SNZ,44057853,9322838010046,Aciclovir 200mg Tab,5,,19.78,17.98
214248,Nivea Men SGel Actv Cln Chrc 500ml,84046,4005900128492,,2,,6.51,5.92
214264,Meloxicam Cap 7.5mg 30 Blst     SNZ,44047015,9322838010930,Meloxicam 7.5mg Cap,5,,3.82,3.47
214280,Meloxicam Cap 15mg Blst 30      SNZ,44047016,9322838010947,Meloxicam 15mg Cap,5,,4.58,4.16
214345,APH Diarrhoea Rlf Plus Tab 12,2022,9338475020225,Loperamide Hydrochloride 2mg Simethicone 125mg Tab,2,,4.91,4.46
214396,APH CCough Rlf 200ml,2021,9338475020218,Guaiphenesin 20mg/ml Bromhexine Hcl 0.6mg/ml Liq,2,,7.06,6.42
214418,Travacalm Ging 10,4804,9313501048046,,2,,3.92,3.56
214434,APH Gluc & Elect Sach 10,9928,9338475099283,Glucose 3.56g Potassium Chloride 300mg Sodium Chloride 470mg Sach,2,,6.4,5.82
214442,APH Chesty Mucus Rlf Forte 200ml,2019,9338475020195,Bromhexine Hcl 1.6mg/ml Liq,2,,5.34,4.85
214450,Eliquis F/C Tab 5mg 28,1338515,9323820002759,Apixaban 5mg Tab,5,,27.49,24.99
214523,APO Zolpidem Tab 10mg Blst 14,1779,9338475017799,Zolpidem Tartrate 10mg Tab,6,,5.7,5.18
214558,Insulin NovoRapid FlexPen 3ml x5,1169515,9324627001297,Insulin Aspart (rys) 100iu/ml Pen,5,,32.93,29.94
214728,Kadcyla Vial 100mg            S100C,16606,7640149612349,Trastuzumab Emtansine 100mg Vial,5,,1716.96,1560.87
214752,Kadcyla Vial 160mg            S100C,16666,7613326036887,Trastuzumab Emtansine 160mg Vial,5,,2747.12,2497.38
214825,Sigmaxin PG Tab 62.5mcg 200,5730,9316626602445,Digoxin 62.5mcg Tab,5,,4.25,3.86
214833,Sigmaxin Tab 250mcg 100,5731,9316626602438,Digoxin 250mcg Tab,5,,4.25,3.86
214876,Vasocardol CD Cap 360mg 30,326389,93801454,Diltiazem Hcl 360mg Cap,5,,12.96,11.78
214884,Vasocardol Tab 60mg 90,326383,93801461,Diltiazem Hcl 60mg Tab,5,,8.66,7.87
215015,Pamisol Inj 15mg/5ml,F000039897,9313212302857,Disodium Pamidronate 15mg Soln,5,,16.14,14.67
215023,Pamisol Inj 30mg/10ml,F000039899,9313212302833,Disodium Pamidronate 30mg Soln,5,,32.27,29.34
215104,Pamisol Inj 60mg/10ml,F000039895,9313212302840,Disodium Pamidronate 60mg Soln,5,,64.55,58.68
215163,Celapram Tab 20mg Blst 28 ,400008386,9323610003591,Citalopram 20mg Tab,5,,2.98,2.71
215260,Nair Easiwax Mini Strp Pk20,626,9310320026507,,2,,7.57,6.88
215279,Perjeta Vial 420mg/14ml 1     S100C,14044,7640149611175,Pertuzumab 420mg Vial,5,,3210.63,2918.75
215651,Atozet FDC Tab 10/10mg 30,400547165,840164513882,Ezetimibe 10mg Atorvastatin 10mg Tab,5,,8.15,7.41
215708,Atozet FDC Tab 10/20mg 30,400547166,840164513851,Ezetimibe 10mg Atorvastatin 20mg Tab,5,,11.11,10.1
215716,Atozet FDC Tab 10/40mg 30,400547167,840164513868,Ezetimibe 10mg Atorvastatin 40mg Tab,5,,12.08,10.98
215740,Atozet FDC Tab 10/80mg 30,400547168,840164513875,Ezetimibe 10mg Atorvastatin 80mg Tab,5,,15.14,13.76
215783,Adren LINK 1:10000 10mL BP PFSx1,100339,9339212001262,Adrenaline 1mg/10ml Pfs,1,,30.25,27.5
216151,Droleptan Amp 2.5mg 10x1ml,INJ080,9329829000932,Droperidol 2.5mg Amp,6,,51.45,46.77
216208,Faulding Cran 30000mg Cap 30,1174183,9316100216205,,2,,11.55,10.5
216488,A/Search Steam Vapo,1174230,8018294012663,,2,,55,55
216879,Swisse UBst Lung Hlth Supp Tab 90,01-F04-10021,9311770598422,,2,,30.37,27.61
216895,Glucodin Pwdr Zip Bag 325g,103342,9330130006452,,2,,5.95,5.41
216984,Swisse UBst HiStr VitC Tab 150 ,01-F04-10014,9311770598200,,2,,18.41,16.74
217034,CH Own LowDose Aspirin Tab 100mg168,7003662,9350299001945,,2,,6.23,5.66
217042,CH Own LowDose Aspirin Tab 100mg 28,7003660,9350299001969,,2,,2.84,2.58
217069,CH Own LowDose Aspirin Tab 100mg 84,7003661,9350299001952,,2,,4.09,3.72
217077,Nivea Sun Prt&Moist LtnSPF50+ 400ml,86044,4005900105097,,2,,20.56,20.56
217093,Nivea Body Q10 Ltn Rich Firm 400ml,88198,4005800098833,,2,,8.56,7.78
217166,Sanofi Shave Crm 75g,5000222a,9300655602873,,2,,2.28,2.07
217239,Salofalk Enema 2g 60ml 7,DRF-110009,9355795002007,Mesalazine Enema,5,,53.5,48.64
217247,Salofalk Enema 4g 60ml 7Pk,DRF-110010,9355795002014,Mesalazine Enema,5,,83.69,76.08
217301,Testogel 1% Gel Pmp Pk 88g x2,2156121,799439685406,Testosterone 1% Gel,5,,71.17,64.7
217360,Androderm Patch 5mg/DayTransderm 30,33666600633,9336666006331,Testosterone Patch,6,,83.74,76.13
217387,Advantan Ltn   0.1% 20g,101146,9345461000345,Methylprednisolone Aceponate 0.1% Ltn,5,,6.49,5.9
217476,Alpha Keri Skn Moist Boost Ltn 1Ltr,0406-1,9310263001616,,2,,19.22,17.47
217506,Alpha Keri Shwr&Bath Oil 1Ltr,0416-1,9310263001630,,2,,19.22,17.47
217530,Alpha Keri Gent Wash 1Ltr,0497-1,9310263001654,,2,,19.22,17.47
217778,Crampeze Cap 120,NA24000262,9329224000261,,2,,30.88,28.07
217840,Aspen Methadone Syp 200ml,17724,9316626103263,Methadone Hydrochloride 200ml Syp,5,,9.25,8.41
217980,Ritalin LA Cap 20mg 30,151611,93522571,Methylphenidate 20mg Cap,5,,29.82,27.11
217999,Ritalin LA Cap 30mg 30,151613,93522588,Methylphenidate 30mg Cap,5,,36.99,33.63
218006,Ritalin LA Cap 40mg 30,151614,93522595,Methylphenidate 40mg Cap,5,,39.45,35.86
218057,Modavigil Tab 100mg 30,19002725,9349649001049,Modafinil 100mg Tab,6,,59.05,53.68
218065,Modavigil Tab 100mg 60,267337,9349649001056,Modafinil 100mg Tab,5,,64.27,58.43
218103,Schick Hydro Silk T/Style Kit ,W301002800,4891228302009,,2,,20.63,18.75
218138,Gazyva Vial 1000mg/40ml 1     S100C,15526,7640149615814,Obinutuzumab 1000mg/40ml Vial,5,,4978.07,4525.52
218189,Invite E Pmp Pk 200g,300041,9314807006136,,2,,15.55,14.14
218219,Aveeno Baby Dermexa Moist Crm 206g,79628261,9300607761207,,2,,19.02,17.29
218251,Zydelig Tab 100mg Btle 60,1154736,5391507141385,Idelalisib 100mg Tab,5,,5512.1,5011
218278,Zydelig Tab 150mg Btle 60,1154737,5391507141392,Idelalisib 150mg Tab,5,,5512.1,5011
218286,Copaxone 40mg/ml PFS 12,FQ0056,9349649000011,Glatiramer Acetate 40mg/ml Pfs,5,,574.28,522.07
218383,Banana B EDay Sens Ltn SPF50+ 100g,X300677804,9330344002264,,2,,10.12,10.12
218413,Hotwater Btle Asstd Col,A1016,9322507001344,,2,,6.53,5.94
218537,Xalkori 250mg Cap 60,162542,9313212106264,Crizotinib 250mg Cap,5,,7508.63,6826.03
218561,Xalkori 200mg Cap 60,162540,9313212106257,Crizotinib 200mg Cap,5,,7508.63,6826.03
218596,Neisvac-C P/F Syr 0.5ml x1,F000038361,9313212108497,Vaccine Meningococcal 0.5ml Pfs,6,,65.18,59.25
218634,Palmers CButter Exfol B/Ltn 400ml,4296-6,10181042966,,2,,9.96,9.05
218650,Le Tan Class 30 125ml,5841,9300703058416,,2,,6.91,6.91
218715,Minirin Amp 4mcg 1ml x10,32032228,9312319460224,Desmopressin 4mcg Amp,6,,141.06,128.24
218952,Saphnelo 300mg/2ml Conc Vial   S100,7006686,5000456071581,Anifrolumab 300mg Inj Vial,5,,1592.8,1448
219118,Teveten Plus Tab 600mg 28,400537616,5099151014214,Eprosartan 600mg Tab,5,,13.9,12.64
219126,Symbicort Turb 200/6mcg 120 Doses,7004830,9322882007269,Budesonide 200mcg Formoterol (eformoterol) Fumarate Dihydrate 6mcg Inh,5,,30.44,27.67
219134,Vivaxim P/F Syr 1mL x1,322486,9329670200505,Vaccine Typhoid Vaccine Hepatitis A Pfs,6,,140.95,128.14
219150,Carefree PLiner Barely 24 x12,15066359,93478731,,2,,29.99,29.99
219258,Gaviscon Tab Rlf PMint 24,3253503,9300631384700,Alginic Acid Compound Tab,2,,5.93,5.39
219274,Lor Fructis SPoo Dry/Dam 250ml,C1740800,9312825685197,,2,,5.5,5
219428,Lumigan EDrps 0.03% 3ml,92351ED,9315195923517,Bimatoprost Drps,5,,21.45,19.5
219541,A/Search Ventalair Max Neb,1174245,9318766500025,,2,,226.16,226.16
219878,Levetiracetam AFT Soln 100mg/300ml,2472406a,9340404000895,Levetiracetam 100mg/ml Bottle,5,,70.24,63.85
219924,Hydroxychloroquine GH Tab 200mg 100,1060068,9334926000068,Hydroxychloroquine 200mg Tab,0,,13.19,11.99
219975,Nurofen Zavance Liq Cap 200mg 80,3253564,9300711143470,,2,,24.05,21.86
220027,APO Ciprofloxacin Tab 500mg Blst 14,2063,9338475020638,Ciprofloxacin 500mg Tab,5,,4.79,4.35
220043,Ego Resolve Jock Itch 25g,11518,93478090,,2,,6.68,6.07
220051,Calc Gluc Gel 50g,5000023555,9319912014663,Calcium Gluconate Gel,6,,47.82,43.47
220248,Micardis Plus Tab 40/12.5mg 28,118681,9310717002961,Telmisartan 40mg Hydrochlorothiazide 12.5mg Tab,5,,13.94,12.67
220256,Micardis Plus Tab 80/12.5mg 28,118666,9310717002985,Telmisartan 80mg Hydrochlorothiazide 12.5mg Tab,5,,15.55,14.14
220345,Plidogrel FC Tab 75mg 28,7002299,9350299003659,Clopidogrel 75mg Tab,5,,4.5,4.09
220647,Neat Feat Heel Grippers Leather,LEATHER HEEL GRIPPER,9416967919407,,2,,9.98,9.07
220701,Pure Papaya Baby Wash 150ml,1PPBHTW150,9322316008398,,2,,14.26,12.96
220833,Vicks VapoSteam Inhal 100ml,V100,328785391008,,2,,7.61,6.92
220868,Eprex  8000 P/F Syr 6          S100,AN378151,9317376781510,Epoetin Alfa Pfs,5,,575.65,523.32
220892,Spiriva 18mcg Cap 30,115671,9310717002909,Tiotropium 18mcg Cap,5,,33.67,30.61
220906,Spiriva Handihaler,396644,9310717002916,Device Device,6,,4.83,4.39
